Catégorie principale;Catégorie;Sous Catégories;Type;Produit;Site La Fourche;Quantité La Fourche;Site Biocoop Champollion;Quantité Biocoop Champollion;Site Biocoop Fontaine;Quantité Biocoop Fontaine;Site Satoriz;Quantité Satoriz;Site GreenWeez;Quantité GreenWeez;Code Elefan;Quantité Elefan;Date MAJ;Proportion;Elefan moins cher mais sans stock;
Boissons;Thé, café et chocolats;Thé;Prix bas;Thé noir breakfast;https://lafourche.fr/products/biodyssee-the-noir-breakfast-de-ceylan-bio-100g;0,1;https://www.biocoop.fr/the-noir-english-breakfast-bio-jg0155-000.html;V;https://www.biocoop.fr/the-noir-breakfast-ceylan-100g-to1025-000.html;0,1;https://satoriz-comboire.bio/products/jg7832;0,1;https://www.greenweez.com/produit/the-noir-breakfast-bio-vrac-200g/2WEEZ0434;0,2;THE BREAKFAST VRAC;V;;;;
Boissons;Thé, café et chocolats;Thé;Prix bas;Thé vert menthe;https://lafourche.fr/products/la-fourche-the-vert-menthe-bio-equitable-0-1kg;0,1;https://www.biocoop.fr/the-vert-menthe-parfum-de-medina-bio-jg0677-000.html;V;https://www.biocoop.fr/the-vert-menthe-parfum-de-medina-bio-jg0677-000.html;V;https://satoriz-comboire.bio/products/st23516;;https://www.greenweez.com/produit/the-vert-a-la-menthe-200g/1DEST0423;0,2;THE VERT MENTHE - CASBAH VRAC;V;;;;
Boissons;Thé, café et chocolats;Thé;Prix bas;Thé vert jasmin;https://lafourche.fr/products/biodyssee-the-vert-fleuri-au-jasmin-bio-0-1kg;0,1;https://www.biocoop.fr/the-vert-jasmin-flowers-bio-jg0087-000.html;V;https://www.biocoop.fr/the-vert-jasmin-ft2003-000.html;0,048;https://satoriz-comboire.bio/products/ma04628;0,048;https://www.greenweez.com/produit/the-vert-jasmin-bio-vrac-200g/2WEEZ0433;0,2;;;oct-24;;;
Boissons;Thé, café et chocolats;Thé;100g;Thé vert jasmin;https://lafourche.fr/products/biodyssee-the-vert-fleuri-au-jasmin-bio-0-1kg;0,1;https://www.biocoop.fr/the-vert-jasmin-flowers-bio-jg0087-000.html;V;https://www.biocoop.fr/the-vert-jasmin-100g-rc3364-000.html;0,1;https://satoriz-comboire.bio/products/jg7362;0,1;https://www.greenweez.com/produit/the-vert-au-jasmin-100g/1DEST0203;0,1;;;oct-24;;;
Boissons;Thé, café et chocolats;Thé;Prix bas;Rooibos nature;https://lafourche.fr/products/gaia-rooibos-nature-100g;0,1;https://www.biocoop.fr/rooibos-nature-to1011-000.html;0,1;https://www.biocoop.fr/rooibos-nature-to1011-000.html;0,1;https://satoriz-comboire.bio/collections/epicerie-sucree/products/st6062;0,1;https://www.greenweez.com/produit/rooibos-nature-dafrique-du-sud-100g/1DEST0413;0,1;ROOIBOS DES VERGERS PECHE POMME VRAC;V;;;;
Boissons;Thé, café et chocolats;Tisane;Prix bas;Chaï;https://lafourche.fr/products/yogi-tea-infusion-chai-tea-bio-90g;0,09;https://www.biocoop.fr/tisane-classic-chai-90g-gt1000-000.html;0,09;https://www.biocoop.fr/tisane-classic-chai-90g-gt1000-000.html;0,09;https://satoriz-comboire.bio/products/pu710051;0,09;https://www.greenweez.com/produit/infusion-vrac-classic-chai-90g/1YOGI0049;0,09;ATMA CHAI 5 EPICES (SANS THE) VRAC;V;;;;
Boissons;Thé, café et chocolats;Tisane;Prix bas;Tisane bonne nuit;https://lafourche.fr/products/gaia-tisane-bonne-nuit-50g;0,05;https://www.biocoop.fr/tisane-bonne-nuit-jg0634-000.html;0,05;https://www.biocoop.fr/tisane-bonne-nuit-jg0634-000.html;0,05;https://satoriz-comboire.bio/collections/epicerie-sucree/products/jgth502;0,05;https://www.greenweez.com/produit/tisane-bonne-nuit-50g/3JARD0022;0,05;;;;;;
Boissons;Thé, café et chocolats;Tisane;Prix bas;Tisane calme toux;https://lafourche.fr/products/gaia-tisane-calmetoux-50g;0,05;https://www.biocoop.fr/tisane-calmetoux-jg0637-000.html;0,05;https://www.biocoop.fr/tisane-calmetoux-jg0637-000.html;0,05;https://satoriz-comboire.bio/collections/epicerie-sucree/products/jgth508;0,05;https://www.greenweez.com/produit/tisane-calme-toux-50g/3JARD0074;0,05;;;;;;
Boissons;Thé, café et chocolats;Tisane;Prix bas;Tisane remède elfique;https://lafourche.fr/products/les-jardins-de-gaia-tisane-remede-elfique-bio-0-05kg;0,05;https://www.biocoop.fr/tisane-remede-elfique-50g-aa0429-000.html;0,05;https://www.biocoop.fr/tisane-remede-elfique-50g-aa0429-000.html;0,05;https://satoriz-comboire.bio/collections/epicerie-sucree/products/jgth517;0,05;https://www.greenweez.com/produit/tisane-remede-elfique-detox-50g/3JARD0021;0,05;;;;;;
Boissons;Sirops;Tout;Prix bas;Sirop de menthe;https://lafourche.fr/products/elibio-sirop-de-menthe-bio-0-5l;1;https://www.biocoop.fr/sirop-menthe-70cl-bg5003-000.html;0,7;https://www.biocoop.fr/sirop-menthe-70cl-bg5003-000.html;0,7;https://satoriz-comboire.bio/products/big7430;0,7;https://www.greenweez.com/produit/sirop-de-menthe-1l/1MENE0020;1;SIROP DE MENTHE;1;;;;
